identifier,lat,lon,name,state,country
KPVD,41.717,-71.433,PROVIDENCE/GREEN,RI,US
KPVU,40.219,-111.723,Provo Airport,UT,US
KPWM,43.65,-70.3,PORTLAND        ,ME,US
KRAL,33.95,-117.45,RIVERSIDE       ,CA,US
KRAP,44.05,-103.05,RAPID CITY      ,SD,US
KRBL,40.15,-122.25,RED BLUFF       ,CA,US
KRDD,40.517,-122.3,REDDING         ,CA,US
KRDG,40.367,-75.967,READING         ,PA,US
KRDU,35.867,-78.783,RALEIGH/DURHAM  ,NC,US
KRFD,42.2,-89.1,ROCKFORD        ,IL,US
KRIC,37.517,-77.317,RICHMOND        ,VA,US
KRIV,33.867,-117.267,RIVERSIDE/MARCH,CA,US
KRNO,39.483,-119.767,RENO            ,NV,US
KROA,37.317,-79.967,ROANOKE         ,VA,US
KROC,43.117,-77.683,ROCHESTER       ,NY,US
KROW,33.3,-104.5,ROSWELL         ,NM,US
KRST,43.9,-92.5,ROCHESTER       ,MN,US
KRWF,44.55,-95.083,REDWOOD FALL    ,MN,US
KSAC,38.5,-121.5,SACRAMENTO      ,CA,US
KSAN,32.733,-117.183,SAN DIEGO       ,CA,US
KSAT,29.533,-98.467,SAN ANTONIO     ,TX,US
KSAV,32.117,-81.2,SAVANNAH        ,GA,US
KSAW,46.35,-87.4,GWINN/SAWYER    ,MI,US
KSBA,34.433,-119.85,SANTA BARBARA   ,CA,US
KSBN,41.7,-86.317,SOUTH BEND      ,IN,US
KSCK,37.883,-121.217,STOCKTON        ,CA,US
KSDF,38.183,-85.733,LOUISVILLE      ,KY,US
KSEA,47.45,-122.317,SEATTLE,WA,US
KSFO,37.617,-122.367,SAN FRANCISCO   ,CA,US
KSGF,37.233,-93.383,SPRINGFIELD     ,MO,US
KSHR,44.767,-106.967,SHERIDAN        ,WY,US
KSHV,32.45,-93.833,SHREVEPORT      ,LA,US
KSJC,37.367,-121.917,SAN JOSE        ,CA,US
KSJT,31.367,-100.5,SAN ANGELO      ,TX,US
KSLC,40.783,-111.967,SALT LAKE CITY  ,UT,US
KSLE,44.9,-123,SALEM           ,OR,US
KSNS,36.667,-121.6,SALINAS         ,CA,US
KSPI,39.85,-89.683,SPRINGFIELD     ,IL,US
KSPS,33.983,-98.5,WICHITA FALL    ,TX,US
KSRQ,27.4,-82.567,SARASOTA/BRADENT,FL,US
KSTC,45.55,-94.05,ST. CLOUD       ,MN,US
KSTL,38.75,-90.367,ST. LOUIS       ,MO,US
KSTS,38.5,-122.817,SANTA ROSA      ,CA,US
KSUX,42.383,-96.383,SIOUX CITY      ,IA,US
KSYR,43.117,-76.1,SYRACUSE        ,NY,US
KTHV,39.917,-76.883,YORK            ,PA,US
KTLH,30.4,-84.35,TALLAHASSEE     ,FL,US
KTOL,41.583,-83.8,TOLEDO          ,OH,US
KTOP,39.067,-95.633,TOPEKA          ,KS,US
KTPA,27.967,-82.533,TAMPA           ,FL,US
KTTN,40.283,-74.817,TRENTON         ,NJ,US
KTUL,36.2,-95.883,TULSA           ,OK,US
KTUS,32.133,-110.95,TUCSON          ,AZ,US
KTYR,32.367,-95.4,TYLER           ,TX,US
KTYS,35.817,-83.983,KNOXVILLE       ,TN,US
KUIL,47.933,-124.55,QUILLAYUTE      ,WA,US
KVCT,28.867,-96.933,VICTORIA        ,TX,US
KVIS,36.313,-119.388,Visalia Airport,CA,US
KVTN,42.867,-100.55,VALENTINE       ,NE,US
KWMC,40.9,-117.8,WINNEMUCCA      ,NV,US
KYKM,46.567,-120.533,YAKIMA          ,WA,US
KYNG,41.25,-80.667,YOUNGSTOWN      ,OH,US
MMMY,25.779,-100.107,,,
